SegIndex,t in s,t_seg in s,τ in Pa,G' in Pa,"G"" in Pa",|η*| in mPas,ɣ in %,f in Hz,T in °C
1|1,196.4140015,15.99499512,0.1187904179,4222.003906,5273.649414,1075170.166,0.00129378468,1,36.99981079
1|2,212.4049988,31.98599243,0.149779439,9031.425781,1090.979858,1447845.459,0.001587795668,1,36.99846802
1|3,228.3930054,47.97399902,0.18885234,6813.303223,4712.437988,1318473.267,0.002063649845,1,36.99901733
1|4,244.3840027,63.96499634,0.2381190658,8940.361328,682.4851685,1427042.603,0.002659681923,1,37.00008545
1|5,260.3720093,79.95300293,0.3002377152,8773.296875,797.1113892,1402064.819,0.00333600874,1,36.99907837
1|6,276.3609924,95.94198608,0.3785610199,9024.837891,416.5243225,1437876.465,0.004197816816,1,37.00032959
1|7,292.3510132,111.9320068,0.4773170948,7887.211914,2035.52063,1296418.823,0.00520133035,1,36.99907837
1|8,308.3420105,127.9230042,0.6018351316,9630.40625,398.3270874,1534037.231,0.006254150503,1,36.99938354
1|9,324.3299866,143.9109802,0.7588379383,10117.23633,375.0744934,1611314.331,0.007505250687,1,36.99932251
1|10,340.3210144,159.9020081,0.9567961693,9977.523438,465.5898132,1589700.195,0.009591676644,1,36.99703369
1|11,356.3089905,175.8899841,1.206396103,9757.117188,447.8949585,1554528.687,0.0123677004,1,36.99901733
1|12,372.2990112,191.8800049,1.521112204,9689.381836,454.1341858,1543805.786,0.01570269815,1,37.00090942
1|13,388.2879944,207.868988,1.917929173,9610.145508,427.0039368,1531011.108,0.01996475185,1,36.9996582
1|14,404.2780151,223.8590088,2.418263435,9561.875,430.4897461,1523361.084,0.02529943886,1,36.99892578
1|15,420.2669983,239.8479919,3.049123287,9505.472656,423.5608521,1514344.116,0.03208953713,1,37.00084839
1|16,436.2569885,255.8379822,3.844543934,9611.40332,427.8105164,1531216.797,0.04001407651,1,36.99971924
1|17,452.2460022,271.8269958,4.847485542,9615.989258,431.1722107,1531969.849,0.05042833509,1,36.99971924
1|18,468.2340088,287.8150024,6.112041473,9585.510742,433.4212341,1527140.137,0.0637846475,1,37.00136719
1|19,484.2229919,303.8039856,7.7064991,9601.186523,436.1608887,1529652.222,0.08029206074,1,37.00109253
1|20,500.2130127,319.7940063,9.716927528,9593.78418,421.9696655,1528374.39,0.1013232744,1,36.99935303
1|21,516.2020264,335.78302,12.25181007,9604.037109,436.8830872,1530110.596,0.1276102033,1,37.00023804
1|22,532.1920166,351.7730103,15.44792461,9617.169922,434.5387878,1532181.763,0.1606817939,1,36.99978027
1|23,548.1829834,367.7639771,19.47785568,9629.759766,436.0726929,1534194.336,0.2023334848,1,37.00109253
1|24,564.1729736,383.7539673,24.55913925,9653.958008,432.5074158,1538016.235,0.254481798,1,37.00020752
1|25,580.1640015,399.7449951,30.96590996,9678.948242,436.9420471,1542021.24,0.3200343112,1,37.00219116
1|26,596.1519775,415.7329712,39.04403687,9682.103516,433.8473816,1542500.854,0.403396925,1,37.00133667
1|27,612.1420288,431.7230225,49.22961044,9699.149414,444.1556091,1545285.156,0.5077125505,1,36.99880371
1|28,628.1309814,447.7119751,62.07212067,9723.928711,441.5096741,1549205.811,0.6385398563,1,36.99892578
1|29,644.1209717,463.7019653,78.26481628,9719.325195,453.3559875,1548560.547,0.8054500446,1,37.00127563
1|30,660.1099854,479.690979,98.68222046,9721.020508,464.6729431,1548915.039,1.015331596,1,37.00133667
1|31,676.0999756,495.6809692,124.4253235,9725.542969,471.4384155,1549685.669,1.279569231,1,37.00112305
1|32,692.0910034,511.6719971,156.884613,9719.451172,473.4882507,1548733.154,1.614371315,1,37.00097046
1|33,708.0809937,527.6619873,197.8119965,9723.731445,481.7608337,1549478.027,2.034525573,1,36.99819336
1|34,724.0720215,543.6530151,249.415451,9726.074219,491.5947571,1549928.833,2.56455373,1,37.00042114
1|35,740.0620117,559.6430054,314.4804077,9704.188477,504.2832642,1546553.467,3.240622953,1,37.00002441
1|36,756.0510254,575.632019,396.5201416,9670.124023,518.1625977,1541255.859,4.100105911,1,36.9999939
1|37,772.0410156,591.6220093,499.9601135,9627.31543,537.6400146,1534622.192,5.192039907,1,37.00060425